Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Schlumberger,SLB,"$2,167","$7,747","$4,130",-,"$1,486","$15,530","$9,270","$1,565","$23,699","$6,248","$40,782","$56,312","$13,098","$14,770","$2,810","$19,038","$32,136","$13,078","$18,751","$-4,438",-,"$24,176","$56,312",2019
Schlumberger,SLB,"$2,777","$7,881","$4,010",-,"$1,063","$15,731","$11,679","$1,538","$34,259","$7,300","$54,776","$70,507","$13,486","$14,644","$3,197","$20,435","$33,921","$13,132","$31,658","$-4,622",-,"$36,586","$70,507",2018
Schlumberger,SLB,"$5,089","$8,084","$4,046",-,"$1,278","$18,497","$11,576","$1,519","$35,199","$5,196","$53,490","$71,987","$15,282","$14,875","$1,837","$19,444","$34,726","$12,975","$32,190","$-4,274",-,"$37,261","$71,987",2017
Schlumberger,SLB,"$9,257","$9,387","$4,225",-,"$1,058","$23,927","$12,821","$1,481","$35,918","$3,809","$54,029","$77,956","$15,059","$16,463","$1,530","$21,368","$36,427","$12,801","$36,470","$-4,643",-,"$41,529","$77,956",2016
Schlumberger,SLB,"$13,034","$8,780","$3,756",-,"$1,134","$26,912","$13,415","$3,729","$21,200","$2,749","$41,093","$68,005","$14,121","$14,442","$1,028","$17,979","$32,100","$12,693","$40,870","$-4,558",-,"$35,905","$68,005",2015
Schlumberger,SLB,"$7,501","$11,171","$4,628",-,"$1,250","$24,694","$15,396","$3,677","$20,934","$2,203","$42,210","$66,904","$14,176","$10,565","$1,317","$14,679","$28,855","$12,495","$41,333","$-4,206",-,"$38,049","$66,904",2014
Marvell Technology,MRVL,$950.8,"$1,121.6",$864.4,$125.9,-,"$3,062.7",$756,-,"$15,591","$1,506.9","$18,165.8","$21,228.5","$1,814.2","$4,058.6",$524.3,"$4,582.9","$6,397.1",$1.7,$-16.7,$1.1,-,"$14,831.4","$21,228.5",2023
Marvell Technology,MRVL,$911,"$1,192.2","$1,068.3",$109.6,-,"$3,281.1",$577.4,-,"$16,688.9","$1,508.8","$19,241","$22,522.1","$2,386.7","$3,907.7",$590.5,"$4,498.2","$6,884.9",$1.7,"$1,123.5",-,-,"$15,637.2","$22,522.1",2022
Marvell Technology,MRVL,$613.5,"$1,048.6",$720.3,$111,-,"$2,493.4",$462.8,-,"$17,664.5",$994.4,"$19,615.2","$22,108.6","$1,388.6","$4,484.8",$533.1,"$5,017.9","$6,406.5",$1.7,"$1,491.4",-,-,"$15,702.1","$22,108.6",2021
Marvell Technology,MRVL,$748.467,$536.668,$268.228,$63.782,-,"$1,617.145",$326.125,-,"$7,607.661",$541.569,"$9,147.779","$10,764.92","$1,077.097",$993.17,$258.853,"$1,252.023","$2,329.12",$1.35,"$2,103.441",-,-,"$8,435.804","$10,764.92",2020
Marvell Technology,MRVL,$647.604,$492.346,$322.98,$74.567,-,"$1,537.497",$357.092,-,"$8,102.005",$496.85,"$9,595.737","$11,133.24",$710.166,"$1,439.024",$305.465,"$1,744.489","$2,454.655",$1.328,"$2,541.313",-,-,"$8,678.58","$11,133.24",2019
Marvell Technology,MRVL,$582.41,$493.122,$276.005,$43.721,-,"$1,395.258",$318.978,-,"$8,055.187",$234.869,"$8,621.493","$10,016.75",$636.796,"$1,732.699",$94.595,"$2,073.546","$2,710.342",$1.317,"$1,116.495",-,-,"$7,306.41","$10,016.75",2018
Marvell Technology,MRVL,"$1,841.272",$280.395,$170.039,$41.482,$30.767,"$2,363.955",$202.222,-,"$1,993.31",$148.8,"$2,344.332","$4,708.287",$421.142,-,$93.528,$145.732,$566.874,$0.991,"$1,409.452",$-2.322,-,"$4,141.413","$4,708.287",2017
Marvell Technology,MRVL,"$1,668.36",$335.384,$170.842,$58.771,$57.077,"$2,290.434",$243.397,-,"$1,996.88",$117.939,"$2,358.216","$4,648.65",$496.416,-,$124.583,$124.583,$620.999,$1.012,"$1,009.841",$0.023,-,"$4,027.651","$4,648.65",2016
Marvell Technology,MRVL,"$2,282.749",$323.3,$200.958,$102.56,$45.095,"$2,954.662",$296.778,$11.296,"$2,015.36",$164.031,"$2,487.465","$5,442.127","$1,225.785",-,$76.219,$76.219,"$1,302.004",$1.015,"$1,110.982",$-0.795,-,"$4,140.123","$5,442.127",2015
Marvell Technology,MRVL,"$2,529.555",$420.955,$308.162,$68.14,-,"$3,344.04",$340.639,$10.226,"$2,060.643",$128.839,"$2,540.347","$5,884.387",$637.376,-,$100.922,$100.922,$738.298,$1.03,"$2,045.203",$0.308,-,"$5,146.089","$5,884.387",2014
