Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
CocaCola,KO,1.3177,0.6534,2.0106,59.3112,27.2521,27.2521,31.9047,29.5299,23.4658,0.3782,4.113,10.5006,34.7598,36.4969,-106.9089,8.8985,12.6496,4.9475,-0.1501,-0.1292,2020
CocaCola,KO,0.7567,0.566,2.0269,60.7712,27.0649,27.0649,30.7277,28.9433,23.936,0.4314,4.3264,9.3845,38.8938,42.587,-158.5215,10.4016,18.4823,4.9294,0.6531,0.7061,2019
CocaCola,KO,0.8662,0.5711,2.32,61.9038,26.6822,26.6822,29.8484,23.9796,18.758,0.4122,4.255,9.308,39.2136,33.9805,-256.0696,7.7822,14.5744,4.4653,0.1457,0.2231,2018
CocaCola,KO,1.3439,0.6217,2.5128,62.1093,21.4156,21.4156,24.8951,19.0268,3.4464,0.412,5.168,9.8751,36.9616,6.7608,54.8056,1.4597,2.5579,4.4557,-0.3849,-0.2811,2017
CocaCola,KO,1.2818,0.5611,1.9685,60.6693,20.6794,20.6794,24.948,19.4348,15.5913,0.4797,6.1551,10.8566,33.6201,28.2084,313.0975,7.5054,12.3809,5.4151,-0.3767,-0.3,2016
CocaCola,KO,1.2401,0.5236,1.7123,60.5319,19.7047,19.7047,24.1523,21.6847,16.5959,0.4922,6.0241,11.2393,32.4754,28.5903,451.348,8.1848,13.6218,5.9584,0.0046,-0.0651,2015
CocaCola,KO,1.0189,0.3841,1.366,61.1092,21.1053,21.1053,25.4011,20.2726,15.4311,0.4999,5.7706,10.2996,35.4383,23.3108,170.0645,7.7415,14.356,6.9998,0.0474,0.0977,2014
AMD,AMD,2.5068,0.0298,0.0442,46.1199,1.7681,1.7681,17.4383,2.1693,3.7654,0.3341,2.8086,4.2117,86.6634,1.5279,8.3179,1.258,1.4824,34.5866,-1.2435,-1.293,2023
AMD,AMD,2.3581,0.0431,0.0451,44.9261,5.3557,5.3557,24.2151,5.0167,5.593,0.3492,3.4468,5.7173,63.8414,2.411,20.4493,1.9532,2.307,33.964,-0.5956,-0.6372,2022
AMD,AMD,2.0243,0.0001,0.0418,48.2475,22.1979,22.1979,25.0152,22.3257,19.2406,1.3233,4.3504,6.0687,60.1448,42.1769,43.8679,25.461,42.1713,6.2113,1.9776,1.9763,2021
AMD,AMD,2.5416,0.0535,0.0565,44.5253,14.0223,14.0223,17.7917,13.0595,25.5045,1.0894,3.8713,4.7028,77.6134,42.6589,44.881,27.784,40.3762,4.82,0.4471,0.3973,2020
AMD,AMD,1.9487,0.1467,0.1719,42.6088,9.3745,9.3745,13.6533,5.5267,5.0661,1.1166,3.9338,3.5822,101.892,12.0623,13.4358,5.6569,10.2928,2.4162,0.4082,0.3676,2019
AMD,AMD,1.7843,0.4681,0.9874,37.7915,6.9653,6.9653,10.1776,5.0965,5.2046,1.4212,4.7669,5.2429,69.6178,26.6193,34.4934,7.3968,14.1597,1.2597,0.0194,-0.0151,2018
AMD,AMD,1.7409,0.6897,2.3406,34.0187,2.4177,2.4177,5.8443,-0.1523,-0.6282,1.4789,4.9942,11.5705,31.5458,-5.5369,-10.7492,-0.9291,-1.7179,0.6163,-0.0844,-0.1109,2017
AMD,AMD,1.8796,0.7753,3.4495,23.223,-8.6363,-8.6363,-5.0706,-10.3959,-11.5305,1.3005,4.4154,13.8875,26.2827,-119.7115,-392.126,-14.9955,-26.9044,0.4449,0.3856,0.4058,2016
AMD,AMD,1.6536,1.2583,-5.4296,27.0609,-12.0521,-12.0521,-7.5921,-16.1864,-16.5372,1.2941,4.2935,7.4878,48.7459,160.1942,95.6522,-21.4008,-41.3793,-0.5202,-0.161,-0.1497,2015
