Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Lam Research,LRCX,"$9,653.559","$5,295.1","$4,358.458","$1,191.32",$702.407,-,"$1,893.727","$2,464.731",$-18.161,"$2,446.571",$255.141,"$2,191.43",-,"$2,191.43",-,"$2,191.43","$2,774.012","$2,464.731",152,160,$14.37,$13.70,2019
Lam Research,LRCX,"$11,077","$5,911.966","$5,165.032","$1,189.514",$762.219,-,"$1,951.733","$3,213.299",$-61.51,"$3,151.789",$771.108,"$2,380.681",-,"$2,380.681",-,"$2,380.681","$3,554.122","$3,213.299",162,181,$14.73,$13.17,2018
Lam Research,LRCX,"$8,013.62","$4,410.261","$3,603.359","$1,033.742",$667.485,-,"$1,701.227","$1,902.132",$-90.459,"$1,811.673",$113.91,"$1,697.763",-,"$1,697.763",-,"$1,697.763","$2,234.319","$1,902.132",162,184,$10.47,$9.24,2017
Lam Research,LRCX,"$5,885.893","$3,266.971","$2,618.922",$913.712,$630.954,-,"$1,544.666","$1,074.256",$-114.139,$960.117,$46.068,$914.049,-,$914.049,-,$914.049,"$1,435.806","$1,074.256",159,175,$5.75,$5.22,2016
Lam Research,LRCX,"$5,259.312","$2,974.976","$2,284.336",$825.242,$591.611,-,"$1,496.297",$788.039,$-47.189,$740.85,$85.273,$655.577,-,$655.577,-,$655.577,"$1,182.953",$788.039,160,177,$4.11,$3.70,2015
Lam Research,LRCX,"$4,607.309","$2,599.828","$2,007.481",$716.471,$613.341,-,"$1,329.812",$677.669,$45.694,$723.363,$91.074,$632.289,-,$632.289,-,$632.289,"$1,005.405",$677.669,165,175,$3.84,$3.62,2014
Stryker,SYK,"$20,498","$7,440","$13,058","$1,388","$7,129",$-18,"$9,170","$3,888",$-215,"$3,673",$508,"$3,165",-,"$3,165",-,"$3,165","$4,916","$3,888",380,384,$8.34,$8.25,2023
Stryker,SYK,"$18,449","$6,871","$11,578","$1,454","$6,455",$-201,"$8,737","$2,841",$-158,"$2,683",$325,"$2,358",-,"$2,358",-,"$2,358","$3,839","$2,841",378,382,$6.23,$6.17,2022
Stryker,SYK,"$17,108","$6,140","$10,968","$1,235","$6,427",$-103,"$8,384","$2,584",$-303,"$2,281",$287,"$1,994",-,"$1,994",-,"$1,994","$3,574","$2,584",377,382,$5.29,$5.21,2021
Stryker,SYK,"$14,351","$5,294","$9,057",$984,"$5,361",$-17,"$6,834","$2,223",$-269,"$1,954",$355,"$1,599",-,"$1,599",-,"$1,599","$3,035","$2,223",376,380,$4.26,$4.20,2020
